Location,Coral Species,1-10 m %dead,1-10 m %bleached,1-10 m (n),# Bleached,# Dead,# Healthy,Affected,Total ,,Date,Island,Site,Location,Spp,% Bleach,% Pale,Old,Recent,BL 0,PA 0,Old 0,Recent 0,?,PWG Dead,PWG Bleach,Healthy,Affected
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,PAVA,,,20,,0,0,20,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,PAGI,,,5,,0,0,5,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,PAGI,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,PAGI,,,15,,0,0,15,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,PAGI,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,PAGI,,,5,,0,0,5,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,MIIN,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,MIIN,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,MIIN,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,MIIN,,5,,,0,5,0,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,MIIN,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,POLO,,,5,,0,0,5,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,POLO,,,10,,0,0,10,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,POLO,,,5,,0,0,5,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,PAGI,,,30,,0,0,30,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,PAGI,,,35,,0,0,35,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,PAGI,,,60,,0,0,60,0,0,1,,0,1
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,PAGI,,,10,,0,0,10,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,PAGI,,,20,,0,0,20,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,GAPL,,,40,,0,0,40,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,PAVA,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,PAVA,,,30,5,0,0,30,5,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,PAVA,,12,,,0,12,0,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,PAGI,,2,50,30,0,2,50,30,0,1,,0,1
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,PAGI,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,PAGI,,,50,,0,0,50,0,0,1,,0,1
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,PAGI,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,GAPL,,,40,,0,0,40,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,PAGI,,,70,,0,0,70,0,0,1,,0,1
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley Rock,POLO,,5,5,,0,5,5,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley Rock,POLO,,10,5,,0,10,5,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley Rock,POLO,,,1,,0,0,1,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley Rock,POLO,,50,20,,0,50,20,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley Rock,MIIN,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley Rock,MIIN,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley Rock,MIIN,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley Rock,MIIN,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley Rock,MIIN,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley Rock,MIIN,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,PAVA,,,20,,0,0,20,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,PAVA,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,PAGI,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,PAGI,,,2,,0,0,2,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,PAGI,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,PACL,,,5,,0,0,5,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,PACL,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,PACL,,,3,,0,0,3,0,0,,,1,0
,,,,,,,,,,,8/24/2014,Uva,Uva-Ridley,Ridley,PACL,,,5,,0,0,5,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,GAPL,85,15,10,,85,15,10,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PAVA,50,30,60,,50,30,60,0,1,1,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PODA,15,30,20,,15,30,20,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,GAPL,95,5,10,5,95,5,10,5,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PAVA,50,50,30,10,50,50,30,10,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PODA,,90,40,4,0,90,40,4,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,GAPL,20,50,50,,20,50,50,0,1,1,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PAVA,35,40,15,5,35,40,15,5,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PODA,10,90,10,,10,90,10,0,1,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PSST,,50,10,,0,50,10,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,GAPL,50,50,,10,50,50,0,10,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,POEL,,80,15,,0,80,15,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PAVA,30,70,20,5,30,70,20,5,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PODA,,80,10,,0,80,10,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,GAPL,95,5,40,,95,5,40,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PAVA,60,40,20,6,60,40,20,6,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,POEL,10,70,10,,10,70,10,0,1,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,GAPL,85,15,30,5,85,15,30,5,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PAVA,30,50,10,,30,50,10,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,GAPL,80,20,15,5,80,20,15,5,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PODA,,80,10,,0,80,10,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,POPA,90,10,,,90,10,0,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PODA,10,30,15,,10,30,15,0,1,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PAVA,50,20,15,5,50,20,15,5,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PAGI,75,25,10,,75,25,10,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,POEL,10,30,5,,10,30,5,0,1,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PSST,90,10,65,,90,10,65,0,1,1,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PODA,15,,15,,15,0,15,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PAVA,50,50,10,2,50,50,10,2,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PACL,55,40,35,,55,40,35,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,POEL,,60,10,,0,60,10,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PODA,,10,5,,0,10,5,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PACL,90,25,15,5,90,25,15,5,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,POEL,20,30,10,,20,30,10,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,POEL,20,30,20,,20,30,20,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PSST,50,20,40,,50,20,40,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,POEL,10,40,15,,10,40,15,0,1,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,GAPL,,70,30,,0,70,30,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,POEL,,40,15,,0,40,15,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PAGI,30,70,5,,30,70,5,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,POEL,30,70,10,,30,70,10,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PAVA,55,45,40,5,55,45,40,5,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PODA,10,30,5,,10,30,5,0,1,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PSST,25,75,10,,25,75,10,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PAVA,60,40,45,8,60,40,45,8,1,1,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PODA,10,90,,,10,90,0,0,1,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PAVA,70,30,20,12,70,30,20,12,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PSST,,80,5,,0,80,5,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PODA,10,90,,,10,90,0,0,1,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,POEL,,90,5,,0,90,5,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PODA,10,40,5,,10,40,5,0,1,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,GAPL,30,30,25,5,30,30,25,5,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PAVA,50,50,35,5,50,50,35,5,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PAVA,80,20,40,10,80,20,40,10,1,1,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PODA,,80,5,,0,80,5,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PODA,,90,15,,0,90,15,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PAVA,50,50,15,5,50,50,15,5,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PODA,30,70,10,,30,70,10,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,POEL,,80,5,,0,80,5,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,POEL,,60,10,,0,60,10,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,GAPL,,40,20,,0,40,20,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,POPA,50,50,5,,50,50,5,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,POPA,,100,5,,0,100,5,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PODA,,50,5,,0,50,5,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,POEL,,10,10,,0,10,10,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,POPA,,100,,,0,100,0,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,POPA,10,90,5,,10,90,5,0,1,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,GAPL,10,50,15,,10,50,15,0,1,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PODA,,100,5,,0,100,5,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PAVA,30,20,15,,30,20,15,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PAGI,40,60,10,,40,60,10,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PSST,,50,10,,0,50,10,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PAVA,20,60,20,,20,60,20,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,POPA,,100,5,,0,100,5,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PACL,30,50,20,,30,50,20,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PAVA,70,20,10,5,70,20,10,5,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,POPA,30,40,60,,30,40,60,0,1,1,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,BEAMS/G City,PODA,95,5,5,,95,5,5,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,Forereef,GAPL,4,10,8,,4,10,8,0,1,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,Forereef,PAVA,38,10,30,,38,10,30,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,Forereef,GAPL,20,40,60,,20,40,60,0,1,1,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,Forereef,PAVA,70,,65,4,70,0,65,4,1,1,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,Forereef,POPA,,25,15,4,0,25,15,4,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,Forereef,PAGI,20,50,16,,20,50,16,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,Forereef,POLO,85,15,15,3,85,15,15,3,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,Forereef,POLO,100,,,10,100,0,0,10,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,Forereef,PODA,,,10,,0,0,10,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,Forereef,POEL,,,5,,0,0,5,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,Forereef,PODA,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,Forereef,PODA,,,55,,0,0,55,0,0,1,,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,Forereef,PODA,50,50,20,,50,50,20,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,Forereef,PODA,,,55,,0,0,55,0,0,1,,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,Forereef,PODA,,20,40,,0,20,40,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,Forereef,PACL,50,50,20,,50,50,20,0,1,,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,Forereef,PAGI,,75,,,0,75,0,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,Forereef,GAPL,100,,75,,100,0,75,0,1,1,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,Forereef,POLO,,50,,,0,50,0,0,0,,,1,0
,,,,,,,,,,,8/16/2015,Uva,Reef,Forereef,PACL,100,,,50,100,0,0,50,1,1,1,0,1
,,,,,,,,,,,8/16/2015,Uva,Reef,Forereef,POLO,,25,,,0,25,0,0,0,,,1,0
,,,,,,,,,,,8/17/2015,Uva,Reef,Backreef,PODA,95,5,10,,95,5,10,0,1,,1,0,1
,,,,,,,,,,,8/17/2015,Uva,Reef,Backreef,PODA,,60,5,,0,60,5,0,0,,,1,0
,,,,,,,,,,,8/17/2015,Uva,Reef,Backreef,PAVA,80,10,35,15,80,10,35,15,1,1,1,0,1
,,,,,,,,,,,8/17/2015,Uva,Reef,Backreef,PAVA,90,10,30,30,90,10,30,30,1,1,1,0,1
,,,,,,,,,,,8/17/2015,Uva,Reef,Backreef,PAVA,95,5,25,15,95,5,25,15,1,,1,0,1
,,,,,,,,,,,8/17/2015,Uva,Reef,Backreef,POLO,20,80,10,,20,80,10,0,1,,1,0,1
,,,,,,,,,,,8/17/2015,Uva,Reef,Backreef,PACL,80,20,10,5,80,20,10,5,1,,1,0,1
,,,,,,,,,,,8/17/2015,Uva,Reef,Backreef,POLO,20,80,25,10,20,80,25,10,1,,1,0,1
,,,,,,,,,,,8/17/2015,Uva,Reef,Backreef,POLO,10,50,15,4,10,50,15,4,1,,,1,0
,,,,,,,,,,,8/17/2015,Uva,Reef,Backreef,POLO,,60,45,,0,60,45,0,0,,,1,0
,,,,,,,,,,,8/17/2015,Uva,Reef,Backreef,POEL,,20,10,,0,20,10,0,0,,,1,0
,,,,,,,,,,,8/17/2015,Uva,Reef,Backreef,POEL,,40,10,,0,40,10,0,0,,,1,0
,,,,,,,,,,,8/17/2015,Uva,Reef,Backreef,POLO,10,40,45,5,10,40,45,5,1,1,,0,1
