"Location","Date","Species","Condition","Site"
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora intricata","Affected",NA
"Uva","03/20/83","Millepora platyphylla","Affected",NA
"Uva","03/20/83","Millepora platyphylla","Affected",NA
"Uva","03/20/83","Millepora platyphylla","Affected",NA
"Uva","03/20/83","Millepora platyphylla","Affected",NA
"Uva","03/20/83","Millepora platyphylla","Affected",NA
"Uva","03/20/83","Millepora platyphylla","Affected",NA
"Uva","03/20/83","Millepora platyphylla","Affected",NA
"Uva","03/20/83","Millepora platyphylla","Affected",NA
"Uva","03/20/83","Millepora platyphylla","Affected",NA
"Uva","03/20/83","Millepora platyphylla","Affected",NA
"Uva","03/20/83","Millepora platyphylla","Affected",NA
"Uva","03/20/83","Millepora platyphylla","Affected",NA
"Uva","03/20/83","Millepora platyphylla","Affected",NA
"Uva","03/20/83","Millepora platyphylla","Affected",NA
"Uva","03/20/83","Millepora platyphylla","Affected",NA
"Uva","03/20/83","Millepora platyphylla","Affected",NA
"Uva","03/20/83","Millepora platyphylla","Affected",NA
"Uva","03/20/83","Millepora platyphylla","Affected",NA
"Uva","03/20/83","Millepora platyphylla","Affected",NA
"Uva","03/20/83","Millepora platyphylla","Affected",NA
"Uva","03/20/83","Millepora platyphylla","Affected",NA
"Uva","03/20/83","Millepora platyphylla","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
"Uva","03/20/83","Pocillopora damicornis","Affected",NA
